序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
1269	002280	华富安享保本	9月13日	1.017	1.017	0.00%	-0.10%	0.10%	1.90%	1.70%	---	---	---	---	1.70%
1270	002292	诺安益鑫保本	9月13日	1.018	1.018	0.10%	-0.10%	0.20%	0.99%	1.80%	---	---	---	---	1.70%
1271	001948	建信稳定丰利	9月13日	1.017	1.017	0.00%	-0.10%	0.00%	1.80%	1.90%	---	---	---	1.40%	1.70%
1272	002470	泰达多元回报	9月13日	1.016	1.016	0.00%	-0.10%	0.40%	1.40%	---	---	---	---	---	1.60%
1273	002092	国富新增长混	9月13日	1.017	1.046	0.00%	-0.10%	0.48%	2.85%	3.36%	---	---	---	3.67%	4.60%
1274	002208	博时境源保本	9月13日	1.016	1.016	0.00%	-0.10%	0.00%	1.09%	1.60%	---	---	---	1.50%	1.60%
1275	002415	融通通盈保本	9月13日	1.016	1.016	0.00%	-0.10%	0.10%	1.40%	---	---	---	---	---	1.60%
1276	001282	华安新机遇保	9月13日	1.015	1.015	0.00%	-0.10%	0.10%	1.50%	2.94%	3.36%	---	---	-1.26%	1.50%
1277	002471	泰达多元回报	9月13日	1.015	1.015	0.00%	-0.10%	0.30%	1.40%	---	---	---	---	---	1.50%
1278	090019	大成景恒保本	9月13日	1.014	1.357	0.00%	-0.10%	-0.10%	0.50%	0.40%	2.22%	15.92%	36.02%	-0.29%	35.75%
1279	002209	博时境源保本	9月13日	1.014	1.014	0.00%	-0.10%	0.00%	1.10%	1.50%	---	---	---	1.30%	1.40%
1280	002157	长盛盛世混合	9月12日	1.014	1.014	-0.20%	-0.10%	0.30%	1.10%	1.30%	---	---	---	1.30%	1.40%
1281	001949	建信稳定丰利	9月13日	1.014	1.014	0.00%	-0.10%	0.00%	1.71%	1.71%	---	---	---	1.10%	1.40%
1282	000126	招商安润保本	9月13日	1.013	1.357	0.00%	-0.10%	0.00%	1.10%	1.76%	7.37%	28.08%	37.25%	-4.26%	36.15%
1283	002609	博时泰和债券	9月13日	1.014	1.014	0.10%	-0.10%	-0.69%	1.20%	---	---	---	---	---	1.30%
1284	002456	招商安元保本	9月13日	1.012	1.012	0.00%	-0.10%	0.10%	0.80%	1.20%	---	---	---	---	1.20%
1285	002543	长城久益保本	9月13日	1.012	1.012	0.00%	-0.10%	0.00%	1.20%	---	---	---	---	---	1.20%
1286	519766	交银荣鑫保本	9月13日	1.013	1.013	0.10%	-0.10%	0.20%	1.00%	---	---	---	---	---	1.20%
1287	002093	国富新增长混	9月13日	1.012	1.041	0.00%	-0.10%	0.39%	2.76%	3.38%	---	---	---	3.27%	4.10%
1288	001356	广发聚泰混合	9月13日	1.011	1.011	0.00%	-0.10%	-0.20%	1.20%	0.40%	1.92%	---	---	0.90%	1.10%
1289	002717	红塔红土盛隆	9月13日	1.011	1.011	0.00%	-0.10%	-0.10%	1.10%	---	---	---	---	---	1.10%
1290	160518	博时睿远	9月13日	1.013	1.013	0.20%	-0.10%	0.30%	1.00%	---	---	---	---	---	1.10%
1291	002512	长城久润保本	9月13日	1.011	1.011	0.10%	-0.10%	0.00%	0.90%	---	---	---	---	---	1.00%
1292	002282	平安大华安享	9月13日	1.01	1.01	0.10%	-0.10%	0.10%	0.60%	0.90%	---	---	---	---	0.90%
1293	002291	诺安安鑫保本	9月13日	1.01	1.01	0.10%	-0.10%	0.00%	0.90%	1.10%	---	---	---	---	0.90%
1294	000125	上投摩根天颐	9月13日	1.008	1.279	0.00%	-0.10%	0.30%	1.10%	1.70%	2.70%	21.33%	29.29%	1.81%	29.93%
1295	002252	融通成长30	9月13日	1.008	1.008	0.00%	-0.10%	0.20%	2.86%	15.07%	---	---	---	0.10%	0.80%
1296	002531	博时保泽保本	9月13日	1.007	1.007	0.00%	-0.10%	0.10%	0.70%	---	---	---	---	---	0.70%
1297	002381	东海祥瑞A	9月13日	1.007	1.007	-0.10%	-0.10%	-0.40%	0.50%	---	---	---	---	---	0.70%
1298	002720	国寿安保尊利	9月13日	1.007	1.007	0.00%	-0.10%	0.00%	0.60%	---	---	---	---	---	0.70%
1299	002137	诺安利鑫保本	9月13日	1.008	1.008	0.10%	-0.10%	-0.10%	0.80%	1.31%	---	---	---	0.60%	0.70%
1300	002721	国寿安保尊利	9月13日	1.006	1.006	0.00%	-0.10%	-0.10%	0.50%	---	---	---	---	---	0.60%
1301	206009	鹏华新兴产业	9月13日	2.023	2.233	0.70%	-0.10%	0.60%	0.50%	13.25%	9.84%	57.23%	88.84%	-10.67%	116.03%
1302	002281	建信安心保本	9月13日	1.005	1.005	0.00%	-0.10%	0.00%	0.90%	0.70%	---	---	---	---	0.50%
1303	519961	长信利广混合	9月13日	1.003	1.003	-0.10%	-0.10%	0.10%	1.72%	-0.59%	0.10%	---	---	-0.59%	0.40%
1304	002382	东海祥瑞C	9月13日	1.004	1.004	0.00%	-0.10%	-0.30%	0.50%	---	---	---	---	---	0.40%
1305	003029	安信新优选混	9月13日	1.004	1.004	0.00%	-0.10%	0.00%	---	---	---	---	---	---	0.40%
1306	003028	安信新优选混	9月13日	1.004	1.004	0.00%	-0.10%	0.00%	---	---	---	---	---	---	0.40%
1307	161727	招商增荣混合	9月13日	1.003	1.003	0.00%	-0.10%	0.10%	0.30%	---	---	---	---	---	0.30%
1308	002789	长盛同享保本	9月12日	1.002	1.002	-0.20%	-0.10%	-0.10%	---	---	---	---	---	---	0.20%
1309	002681	金鹰元和保本	9月13日	1.001	1.001	0.00%	-0.10%	-0.10%	0.10%	---	---	---	---	---	0.10%
1310	002790	长盛同享保本	9月12日	1.001	1.001	-0.10%	-0.10%	-0.10%	---	---	---	---	---	---	0.10%
1311	001947	上投摩根安鑫	9月13日	1.001	1.001	0.00%	-0.10%	0.10%	---	---	---	---	---	---	0.10%
1312	002831	国投瑞银瑞宁	9月13日	1.001	1.001	0.10%	-0.10%	0.00%	---	---	---	---	---	---	0.00%
1313	002845	上投摩根安鑫	9月13日	1.001	1.001	0.10%	-0.10%	0.00%	---	---	---	---	---	---	0.00%
1314	003027	安信新价值混	9月9日	1	1	---	-0.10%	---	---	---	---	---	---	---	0.00%
1315	003026	安信新价值混	9月9日	1	1	---	-0.10%	---	---	---	---	---	---	---	0.00%
1316	003191	创金合信鑫回	9月12日	0.999	0.999	-0.10%	-0.10%	---	---	---	---	---	---	---	-0.10%
1317	002682	金鹰元和保本	9月13日	0.999	0.999	0.00%	-0.10%	-0.10%	-0.10%	---	---	---	---	---	-0.10%
1318	003169	长盛盛辉混合	9月12日	0.999	0.999	-0.09%	-0.10%	---	---	---	---	---	---	---	-0.10%
1319	001896	泰达宏利绝对	9月13日	1	1	0.20%	-0.10%	0.40%	1.53%	0.60%	---	---	---	-0.40%	-0.20%
1320	002805	浙商汇金聚利	9月9日	0.998	0.998	---	-0.10%	-0.20%	---	---	---	---	---	---	-0.20%
1321	002806	浙商汇金聚利	9月9日	0.998	0.998	---	-0.10%	-0.20%	---	---	---	---	---	---	-0.20%
1322	002691	前海开源恒泽	9月13日	0.998	0.998	0.00%	-0.10%	-0.30%	---	---	---	---	---	---	-0.20%
1323	002690	前海开源恒泽	9月13日	0.998	0.998	0.00%	-0.10%	-0.30%	---	---	---	---	---	---	-0.20%
1324	002880	华夏大中华信	9月9日	0.998	0.998	---	-0.10%	-0.10%	---	---	---	---	---	---	-0.20%
