序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
2682	001018	易方达新经济	9月13日	1.247	1.247	0.56%	-1.98%	-0.72%	0.08%	22.77%	25.76%	---	---	-11.17%	24.00%
2683	001349	富国改革动力	9月13日	0.748	0.748	0.54%	-1.98%	-0.40%	-1.20%	14.64%	6.13%	---	---	-20.77%	-25.60%
2684	530015	建信深证60	9月13日	1.3484	1.3484	0.17%	-1.98%	-0.74%	4.36%	6.88%	8.43%	53.14%	54.92%	-7.96%	34.61%
2685	000532	景顺长城优势	9月13日	1.34	1.34	0.45%	-1.98%	-2.27%	-3.40%	10.98%	5.37%	20.94%	---	-17.14%	33.40%
2686	001056	北信瑞丰健康	9月12日	0.938	0.938	-2.49%	-1.99%	-0.11%	7.57%	25.74%	20.26%	---	---	-5.92%	-6.20%
2687	000800	华商未来主题	9月13日	1.19	1.19	0.68%	-1.99%	-1.17%	1.37%	19.15%	7.75%	---	---	-13.53%	18.20%
2688	164403	前海开源沪港	9月13日	0.885	0.905	-0.11%	-1.99%	-1.12%	1.84%	8.31%	-8.75%	---	---	-14.36%	-9.57%
2689	000961	天弘沪深30	9月13日	0.9577	0.9577	-0.08%	-1.99%	-1.47%	4.41%	10.22%	0.01%	---	---	-10.49%	-4.15%
2690	000925	汇添富外延增	9月13日	1.086	1.086	0.56%	-2.00%	-0.46%	-2.61%	11.80%	8.54%	---	---	-24.42%	8.00%
2691	001043	工银美丽城镇	9月13日	0.882	0.882	0.11%	-2.00%	-3.29%	5.01%	19.22%	17.15%	---	---	-11.19%	-11.90%
2692	001682	新华鑫回报混	9月13日	1.077	1.077	0.28%	-2.01%	0.85%	9.70%	15.48%	7.40%	---	---	0.19%	7.40%
2693	161723	招商中证银行	9月13日	0.878	0.893	0.00%	-2.01%	-1.90%	5.40%	8.80%	7.50%	---	---	-1.35%	-10.66%
2694	001540	浙商汇金转型	9月12日	0.78	0.78	-3.35%	-2.01%	-2.62%	-6.25%	8.18%	-13.04%	---	---	-20.57%	-22.00%
2695	161029	富国中证银行	9月13日	0.922	0.94	0.00%	-2.02%	-2.12%	5.01%	8.60%	7.23%	---	---	-2.02%	-6.06%
2696	481010	工银中小盘混	9月13日	1.51	1.51	0.47%	-2.02%	-1.18%	-1.31%	15.97%	15.44%	50.15%	74.97%	-19.67%	50.30%
2697	001460	广发中证全指	9月13日	0.7779	0.7779	0.30%	-2.02%	-0.91%	6.76%	7.65%	-4.59%	---	---	-7.30%	-22.44%
2698	002973	广发中证全指	9月13日	0.7775	0.7775	0.28%	-2.02%	-0.91%	---	---	---	---	---	---	2.27%
2699	001154	北信瑞丰平安	9月12日	1.016	1.016	-3.24%	-2.03%	-0.59%	5.83%	20.52%	17.46%	---	---	-14.19%	1.60%
2700	001713	华润元大中创	9月13日	1.016	1.016	0.00%	-2.03%	-1.07%	-2.21%	9.96%	---	---	---	1.50%	1.60%
2701	001416	嘉实事件驱动	9月12日	0.822	0.822	-2.61%	-2.03%	0.12%	4.18%	22.14%	6.61%	---	---	-8.87%	-17.80%
2702	168205	中融中证银行	9月13日	0.82	0.837	0.00%	-2.03%	-2.26%	4.46%	7.47%	5.90%	---	---	-2.73%	-16.34%
2703	000794	宝盈睿丰创新	9月13日	1.598	1.598	0.44%	-2.03%	-0.06%	3.45%	29.03%	21.92%	---	---	-14.14%	59.10%
2704	001938	中欧时代先锋	9月13日	1.068	1.24	0.85%	-2.04%	-0.37%	5.64%	30.71%	---	---	---	9.36%	23.87%
2705	160418	华安中证银行	9月13日	0.7934	0.8097	0.01%	-2.04%	-2.25%	4.16%	6.96%	4.41%	---	---	-3.35%	-19.05%
2706	160137	南方中证互联	9月12日	0.7781	0.7781	-2.32%	-2.04%	-1.06%	0.31%	11.62%	-1.16%	---	---	-18.33%	-22.19%
2707	519714	交银消费新驱	9月13日	0.962	1.923	0.21%	-2.04%	-1.03%	8.11%	20.45%	11.63%	64.36%	67.72%	-2.34%	94.83%
2708	165523	信诚中证信息	9月13日	0.963	0.606	0.42%	-2.04%	-2.24%	-3.13%	12.43%	-4.95%	---	---	-21.52%	-39.71%
2709	050021	博时深证20	9月13日	1.1647	1.1647	0.44%	-2.04%	-0.69%	3.87%	7.96%	2.87%	49.49%	57.53%	-10.34%	15.95%
2710	001017	泰达改革动力	9月13日	1.389	1.389	0.65%	-2.05%	0.65%	16.23%	33.82%	36.18%	---	---	1.91%	38.90%
2711	202017	南方深成联接	9月12日	0.8514	0.8514	-2.62%	-2.05%	-0.76%	2.42%	13.35%	0.90%	28.80%	23.39%	-15.63%	-14.86%
2712	162010	长城久兆中小	9月13日	1.107	1.8	0.64%	-2.05%	-1.08%	-0.27%	13.17%	4.36%	19.50%	40.88%	-17.18%	45.46%
2713	400007	东方策略成长	9月13日	2.6188	2.6188	1.18%	-2.05%	0.99%	10.63%	28.01%	21.25%	71.98%	85.31%	-11.98%	161.88%
2714	160631	鹏华银行分级	9月13日	0.861	0.876	0.12%	-2.05%	-2.38%	4.50%	7.50%	5.74%	---	---	-2.93%	-12.45%
2715	002577	南方新兴混合	9月12日	1.003	1.003	-2.34%	-2.05%	-2.05%	-1.28%	---	---	---	---	---	0.30%
2716	001594	天弘中证银行	9月13日	0.9458	0.9458	0.02%	-2.05%	-2.45%	4.04%	6.65%	5.59%	---	---	-3.17%	-5.44%
2717	001927	华夏消费升级	9月13日	1.097	1.097	0.18%	-2.06%	-2.32%	6.73%	9.83%	---	---	---	---	9.50%
2718	001595	天弘中证银行	9月13日	0.9424	0.9424	0.02%	-2.06%	-2.46%	3.98%	6.50%	5.29%	---	---	-3.36%	-5.78%
2719	160517	博时中证银行	9月13日	0.866	0.88	0.01%	-2.06%	-2.31%	4.36%	7.19%	5.72%	---	---	-2.95%	-12.01%
2720	001385	东方新思路混	9月13日	0.8363	0.8363	1.05%	-2.06%	-0.83%	2.48%	24.10%	16.63%	---	---	-14.69%	-17.24%
2721	000796	宝盈睿丰创新	9月13日	1.48	1.48	0.41%	-2.06%	-0.14%	3.29%	28.73%	21.02%	---	---	-14.45%	47.40%
2722	001617	天弘中证电子	9月13日	0.9029	0.9029	1.11%	-2.06%	-0.55%	-0.90%	15.00%	4.87%	---	---	-14.13%	-10.70%
2723	001618	天弘中证电子	9月13日	0.8999	0.8999	1.11%	-2.07%	-0.57%	-0.93%	14.88%	4.56%	---	---	-14.27%	-11.00%
2724	161616	融通医疗保健	9月13日	1.182	1.546	0.00%	-2.07%	-0.50%	3.68%	11.72%	-5.82%	2.43%	17.86%	-25.80%	63.58%
2725	519995	长信金利趋势	9月13日	0.5612	2.8104	0.63%	-2.07%	0.96%	7.44%	6.53%	19.40%	50.72%	64.62%	-11.58%	199.42%
2726	001184	易方达新常态	9月13日	0.57	0.57	0.53%	-2.07%	-1.22%	-3.08%	14.08%	-6.59%	---	---	-24.60%	-43.30%
2727	001924	华夏国企改革	9月13日	0.895	0.895	0.11%	-2.08%	-2.19%	1.59%	9.83%	---	---	---	-10.24%	-10.60%
2728	002975	广发中证全指	9月13日	1.0257	1.0257	0.55%	-2.08%	-0.03%	---	---	---	---	---	---	-1.26%
2729	001459	广发中证全指	9月13日	1.0256	1.0256	0.56%	-2.08%	-0.02%	4.92%	15.02%	8.41%	---	---	-10.53%	1.99%
2730	020015	国泰区位优势	9月13日	2.116	2.161	0.19%	-2.09%	-1.68%	6.45%	14.53%	19.32%	46.36%	69.37%	-14.18%	120.02%
2731	206007	鹏华消费优选	9月13日	1.594	1.594	-0.06%	-2.09%	-1.73%	2.37%	17.71%	4.45%	55.46%	52.78%	-15.29%	59.50%
2732	000698	宝盈科技30	9月13日	1.555	1.555	0.52%	-2.09%	-1.72%	2.45%	23.27%	15.53%	48.46%	---	-19.26%	54.70%
2733	001560	天弘中证移动	9月12日	0.6493	0.6493	-2.24%	-2.10%	-0.41%	-1.76%	12.96%	1.48%	---	---	-20.17%	-35.07%
2734	040046	华安纳斯达克	9月12日	1.473	1.473	1.80%	-2.10%	-1.83%	3.88%	9.04%	12.43%	18.12%	43.69%	2.19%	44.70%
2735	000828	泰达转型机遇	9月13日	0.848	1.068	0.95%	-2.10%	-1.06%	1.69%	17.48%	1.20%	---	---	-14.55%	0.94%
2736	161025	富国中证移动	9月13日	0.749	1.489	0.40%	-2.10%	-0.27%	-2.36%	11.51%	-4.38%	4.52%	---	-23.25%	4.52%
2737	070013	嘉实研究精选	9月12日	1.958	3.346	-2.15%	-2.10%	-1.16%	0.98%	15.31%	3.28%	54.34%	85.54%	-8.04%	309.95%
2738	161612	融通深证成份	9月13日	0.843	0.853	0.48%	-2.10%	-0.94%	2.82%	13.69%	3.47%	23.83%	17.01%	-16.14%	-15.05%
2739	000746	招商行业精选	9月13日	1.297	1.297	-0.46%	-2.10%	-4.54%	-3.34%	9.96%	5.25%	30.30%	---	-20.11%	30.30%
2740	001561	天弘中证移动	9月12日	0.6467	0.6467	-2.25%	-2.10%	-0.43%	-1.81%	12.82%	1.17%	---	---	-20.32%	-35.33%
2741	163109	申万菱信深证	9月13日	0.6197	0.775	0.47%	-2.11%	-1.26%	1.97%	12.21%	3.72%	25.16%	18.20%	-15.78%	-22.63%
2742	260111	景顺长城公司	9月13日	1.024	1.622	0.39%	-2.11%	-2.30%	-4.32%	10.27%	8.28%	20.45%	18.98%	-15.69%	62.62%
2743	163111	申万中小板	9月13日	1.0258	1.8247	0.58%	-2.11%	-1.51%	-0.90%	9.89%	-1.29%	19.98%	30.94%	-19.64%	38.40%
2744	070023	嘉实深证12	9月12日	1.3211	1.3211	-2.23%	-2.11%	-0.81%	4.39%	7.73%	6.28%	49.48%	54.79%	-8.69%	32.11%
2745	161118	易方达中小指	9月13日	1.0509	1.5319	0.60%	-2.12%	-1.23%	-0.49%	11.87%	-0.55%	6.44%	16.30%	-18.45%	35.46%
2746	001409	工银互联网加	9月13日	0.51	0.51	0.39%	-2.12%	-0.59%	0.00%	8.32%	-7.64%	---	---	-27.94%	-49.20%
2747	002182	东兴蓝海财富	9月13日	0.785	0.785	0.26%	-2.12%	-0.38%	0.13%	-4.50%	---	---	---	-20.87%	-21.50%
2748	530018	建信深证10	9月13日	1.3916	1.3916	0.14%	-2.12%	-2.20%	3.85%	16.39%	11.62%	46.58%	51.71%	-12.15%	38.97%
2749	450011	国富研究精选	9月13日	1.305	1.305	1.01%	-2.12%	-1.52%	-5.56%	19.52%	4.62%	19.85%	17.56%	-21.65%	29.20%
2750	519021	国泰金鼎价值	9月13日	0.509	2.449	0.39%	-2.12%	-1.36%	4.54%	12.42%	10.63%	32.08%	47.04%	-19.72%	79.12%
2751	217005	招商先锋	9月13日	0.8448	2.7948	0.40%	-2.13%	-3.85%	-2.08%	7.13%	5.76%	41.58%	35.38%	-10.76%	258.22%
2752	610005	信达澳银红利	9月13日	1.068	1.268	1.14%	-2.13%	-0.09%	6.78%	30.52%	17.37%	53.80%	57.32%	-5.60%	26.15%
2753	161818	银华消费分级	9月13日	1.102	1.163	0.09%	-2.13%	-2.57%	-3.08%	-2.05%	-8.43%	-11.14%	0.70%	-27.34%	16.14%
2754	519698	交银先锋混合	9月13日	1.4411	1.8451	1.44%	-2.14%	-0.48%	0.06%	23.79%	26.97%	38.40%	47.39%	-19.99%	87.66%
2755	410001	华富竞争力优	9月13日	0.9427	2.4676	0.50%	-2.14%	-2.79%	2.33%	15.08%	6.59%	30.12%	49.22%	-19.01%	222.28%
2756	000854	鹏华养老产业	9月13日	1.186	1.186	0.08%	-2.15%	-2.87%	-1.09%	12.22%	-5.20%	---	---	-21.63%	18.50%
2757	000755	富安达新兴成	9月13日	1.2033	1.2033	-0.29%	-2.15%	-3.49%	-14.46%	2.38%	-6.16%	20.67%	---	-7.45%	20.68%
2758	001192	上投摩根整合	9月13日	0.683	0.683	0.00%	-2.15%	0.44%	2.09%	12.71%	3.02%	---	---	-20.67%	-31.70%
2759	370023	上投中证消费	9月13日	1.274	1.454	0.00%	-2.15%	-2.30%	2.17%	11.66%	1.68%	27.44%	27.67%	-11.65%	49.09%
2760	001186	富国文体健康	9月13日	0.776	0.776	0.65%	-2.16%	-2.65%	-1.41%	19.91%	20.28%	---	---	-15.46%	-22.90%
2761	470068	汇添富深证3	9月13日	1.3429	1.3429	0.43%	-2.16%	-0.89%	1.20%	10.13%	-0.58%	26.22%	33.30%	-15.99%	33.71%
2762	229002	泰达宏利逆向	9月13日	2.534	2.534	0.68%	-2.16%	2.67%	19.47%	37.05%	45.05%	95.52%	117.32%	6.34%	153.40%
2763	519664	银河美丽混合	9月13日	1.592	1.592	0.76%	-2.17%	-1.62%	-2.83%	12.70%	7.34%	51.20%	---	-22.78%	58.00%
2764	481006	工银红利混合	9月13日	0.7979	0.8389	0.01%	-2.17%	-0.89%	1.00%	12.64%	1.04%	3.11%	-2.17%	-13.33%	-17.26%
2765	161718	招商沪深30	9月13日	0.765	1.336	0.00%	-2.17%	-1.16%	3.94%	8.51%	-1.61%	18.57%	15.43%	-15.28%	22.13%
2766	001662	创金沪港深精	9月12日	0.945	0.945	-2.78%	-2.17%	0.21%	8.37%	13.99%	-5.50%	---	---	-5.03%	-5.50%
2767	001294	新华战略新兴	9月13日	0.861	0.861	0.70%	-2.17%	-1.95%	-4.47%	13.70%	-14.50%	---	---	-19.34%	-14.50%
2768	001102	前海开源国家	9月13日	1.079	1.079	0.19%	-2.18%	-1.64%	7.59%	11.26%	9.12%	---	---	9.34%	7.70%
2769	519181	万家和谐增长	9月13日	0.8975	1.8436	-0.48%	-2.18%	-0.97%	6.86%	8.77%	10.98%	47.45%	58.99%	-11.07%	86.00%
2770	213003	宝盈策略增长	9月13日	1.1149	2.0149	0.64%	-2.18%	-1.58%	2.98%	23.54%	11.24%	48.55%	96.56%	-21.42%	117.62%
2771	161607	融通巨潮10	9月13日	0.984	2.498	-0.10%	-2.18%	-1.89%	4.23%	8.96%	1.03%	31.51%	25.16%	-9.47%	225.49%
2772	398011	中海分红增利	9月13日	0.6366	2.0366	-0.48%	-2.19%	-2.93%	-7.88%	4.42%	-24.15%	-20.84%	-18.33%	-36.47%	128.91%
2773	213008	宝盈资源优选	9月13日	1.8268	2.7833	0.67%	-2.19%	-1.82%	3.46%	24.82%	15.18%	42.27%	109.44%	-17.08%	180.95%
2774	000477	广发主题领先	9月13日	1.663	1.663	0.85%	-2.19%	2.04%	-0.96%	18.72%	14.20%	56.90%	---	-14.78%	64.90%
2775	410003	华富成长趋势	9月13日	1.009	1.299	0.26%	-2.20%	-2.69%	0.92%	13.13%	14.44%	36.57%	64.26%	-16.67%	28.17%
2776	000654	华商新锐产业	9月13日	1.432	1.452	0.63%	-2.20%	-1.39%	0.78%	19.68%	10.91%	34.64%	---	-12.97%	44.88%
2777	000761	国富健康优质	9月13日	1.072	1.072	0.56%	-2.20%	-2.38%	4.41%	14.87%	13.28%	---	---	-14.45%	6.60%
2778	001574	中海混改红利	9月13日	0.839	0.839	-0.47%	-2.20%	-2.32%	-6.95%	3.69%	---	---	---	-15.62%	-15.70%
2779	001458	广发中证全指	9月13日	1.0588	1.0588	0.37%	-2.21%	-2.78%	3.15%	15.18%	8.85%	---	---	-6.36%	5.49%
2780	001764	广发沪港深股	9月13日	1.017	1.017	-0.20%	-2.21%	-0.39%	1.90%	---	---	---	---	---	1.90%
2781	460001	华泰柏瑞盛世	9月13日	0.4666	2.9949	1.28%	-2.21%	-2.37%	3.11%	17.28%	1.99%	19.53%	34.76%	-19.78%	350.92%
2782	519665	银河美丽混合	9月13日	1.561	1.561	0.77%	-2.21%	-1.71%	-3.07%	12.17%	6.90%	48.51%	---	-23.20%	54.90%
2783	002976	广发中证全指	9月13日	1.0591	1.0591	0.37%	-2.21%	-2.81%	---	---	---	---	---	---	-3.09%
2784	519644	银河智联混合	9月13日	0.885	0.885	0.23%	-2.21%	-3.60%	-3.71%	0.00%	---	---	---	-11.96%	-11.70%
2785	160415	华安深证30	9月13日	1.24	1.24	0.40%	-2.22%	-1.20%	2.66%	11.76%	1.31%	27.06%	35.42%	-15.99%	23.50%
2786	217016	招商深证10	9月13日	1.104	1.104	0.46%	-2.22%	-1.08%	5.57%	17.04%	8.38%	30.99%	31.46%	-11.66%	9.90%
2787	501001	财通多策略精	9月13日	1.057	1.057	0.19%	-2.22%	-1.31%	2.63%	14.55%	10.24%	---	---	-4.52%	5.50%
2788	750001	安信灵活配置	9月13日	1.486	1.626	-0.47%	-2.23%	1.08%	1.50%	7.88%	0.88%	35.06%	41.52%	-14.69%	69.14%
2789	000646	华润元大医疗	9月13日	1.317	1.317	0.53%	-2.23%	2.33%	13.14%	19.40%	9.20%	31.04%	---	-14.26%	31.70%
2790	040004	华安宝利配置	9月13日	1.139	4.128	0.26%	-2.24%	-1.81%	1.16%	22.02%	18.75%	54.94%	74.15%	-11.03%	802.79%
2791	240010	华宝行业精选	9月13日	1.4211	1.4211	0.40%	-2.24%	-1.96%	-2.14%	11.61%	1.01%	27.96%	30.90%	-15.39%	41.55%
2792	519005	海富通股票混	9月13日	0.604	2.553	-0.66%	-2.25%	-1.30%	-0.65%	1.67%	-21.95%	-5.30%	-1.30%	-30.28%	161.30%
2793	001795	上投摩根文体	9月13日	0.909	0.909	-0.33%	-2.25%	-1.08%	-6.94%	2.24%	---	---	---	-8.71%	-8.80%
2794	165524	信诚中证智能	9月13日	1.004	0.639	0.60%	-2.25%	-0.60%	-0.70%	12.51%	-2.06%	---	---	-19.77%	-37.58%
2795	165522	信诚中证TM	9月13日	0.869	1.539	0.23%	-2.25%	-0.46%	0.00%	16.22%	6.33%	---	---	-20.02%	17.86%
2796	001361	景顺中证TM	9月13日	0.607	0.607	0.50%	-2.27%	-0.66%	-0.49%	11.03%	-5.18%	---	---	-20.32%	-39.60%
2797	000991	工银战略转型	9月13日	0.95	0.95	0.11%	-2.27%	-3.26%	7.23%	21.67%	15.59%	---	---	-5.85%	-5.10%
2798	213002	宝盈泛沿海增	9月13日	0.6527	2.3283	0.93%	-2.27%	-1.43%	-4.74%	21.24%	12.12%	18.86%	43.84%	-18.75%	159.52%
2799	166006	中欧行业成长	9月13日	1.0961	1.1461	0.17%	-2.27%	-1.72%	1.66%	15.31%	10.08%	38.45%	22.86%	-10.38%	14.76%
2800	410010	华富中小板指	9月13日	1.383	1.383	0.36%	-2.27%	-2.06%	-2.82%	6.33%	-4.83%	16.58%	26.89%	-20.62%	37.80%
2801	000967	华泰柏瑞创新	9月13日	1.091	1.091	1.39%	-2.27%	-1.82%	3.86%	23.82%	3.56%	---	---	-15.01%	7.59%
2802	001830	融通跨界成长	9月13日	1.081	1.081	0.65%	-2.27%	1.42%	9.04%	22.60%	---	---	---	-9.52%	7.40%
2803	730001	方正富邦创新	9月13日	1.297	2.047	0.70%	-2.28%	-2.72%	-5.43%	10.27%	12.10%	60.92%	78.83%	-18.43%	99.47%
2804	502056	广发医疗指数	9月13日	1.1813	0.7756	0.48%	-2.28%	-0.28%	5.40%	20.44%	-2.10%	---	---	-16.76%	-23.01%
2805	001005	中海合鑫混合	9月13日	0.645	0.645	0.31%	-2.28%	-5.16%	-1.38%	6.46%	-10.20%	---	---	-29.03%	-35.70%
2806	160611	鹏华优质治理	9月13日	0.903	1.032	0.44%	-2.28%	-1.10%	-1.96%	12.80%	-1.91%	12.33%	0.75%	-12.20%	2.10%
2807	001767	华宝中国互联	9月12日	0.981	0.981	-1.70%	-2.29%	1.34%	4.47%	16.23%	---	---	---	-6.48%	-1.90%
2808	020001	国泰金鹰增长	9月13日	0.981	4.664	0.31%	-2.30%	-1.61%	3.16%	26.34%	29.05%	51.46%	82.05%	-2.75%	904.90%
2809	110019	易方达深证1	9月13日	1.0017	1.0017	0.41%	-2.30%	-1.30%	4.12%	14.93%	5.15%	34.74%	35.86%	-12.20%	-0.24%
2810	519979	长信内需成长	9月13日	1.405	1.855	0.36%	-2.30%	-1.41%	1.01%	9.03%	8.44%	32.45%	70.19%	-22.86%	107.87%
2811	001267	泰达宏利蓝筹	9月13日	0.551	0.551	0.55%	-2.31%	0.55%	0.73%	10.20%	-20.95%	---	---	-24.73%	-44.90%
2812	160127	南方新兴消费	9月12日	1.227	1.7	-2.62%	-2.31%	-0.41%	6.60%	26.28%	24.13%	49.24%	60.44%	-2.09%	70.04%
2813	270027	广发全球农业	9月9日	1.098	1.098	-1.88%	-2.31%	1.76%	2.14%	7.86%	8.18%	3.78%	15.82%	9.69%	9.80%
2814	002345	华夏高端制造	9月13日	1.011	1.011	-0.20%	-2.31%	3.05%	0.70%	---	---	---	---	---	1.30%
2815	519656	银河灵活配置	9月13日	1.69	1.69	0.24%	-2.32%	-3.88%	2.00%	7.73%	3.75%	51.21%	---	-16.24%	68.60%
2816	162714	广发深证10	9月13日	1.014	1.1332	0.41%	-2.32%	-1.32%	4.47%	15.29%	6.78%	25.70%	24.59%	-12.42%	14.31%
2817	165806	东吴深证10	9月13日	1.141	1.141	0.44%	-2.32%	-1.47%	3.56%	13.26%	2.62%	28.36%	23.34%	-14.39%	13.60%
2818	000834	大成纳斯达克	9月12日	1.198	1.198	1.96%	-2.33%	-2.33%	3.80%	8.80%	10.23%	---	---	1.64%	17.50%
2819	163116	申万菱信申万	9月13日	1.0318	0.668	1.64%	-2.33%	1.20%	1.10%	19.31%	-5.21%	---	---	-13.57%	-34.27%
2820	050201	博时价值增长	9月13日	0.671	2.126	0.00%	-2.33%	-2.19%	2.60%	5.01%	-3.17%	8.93%	6.51%	-12.17%	90.15%
2821	000823	银华高端制造	9月13日	0.802	0.802	0.75%	-2.33%	-1.24%	-3.63%	3.38%	-12.62%	---	---	-29.56%	-20.40%
2822	150103	银河银泰理财	9月13日	1.2945	4.1545	0.45%	-2.33%	-0.46%	-1.02%	8.93%	6.00%	40.89%	47.14%	-20.00%	516.70%
2823	519657	银河灵活配置	9月13日	1.677	1.677	0.24%	-2.34%	-3.91%	1.76%	7.31%	3.14%	50.31%	---	-16.68%	67.30%
2824	206012	鹏华价值精选	9月13日	1.34	1.34	0.15%	-2.34%	0.45%	2.53%	14.36%	15.44%	24.70%	40.84%	-11.74%	33.80%
2825	519196	万家新兴蓝筹	9月13日	1.0797	1.0797	-0.67%	-2.34%	0.56%	9.46%	7.01%	---	---	---	---	8.70%
2826	350001	天治财富增长	9月13日	0.9907	2.836	-0.08%	-2.34%	-1.59%	-3.20%	11.26%	7.01%	52.34%	60.07%	-17.06%	301.17%
2827	270002	广发稳健增长	9月13日	1.0964	3.9038	0.16%	-2.34%	-3.58%	4.46%	5.86%	9.48%	56.81%	44.70%	0.57%	622.55%
2828	050001	博时价值增长	9月13日	0.793	3.295	0.00%	-2.34%	-1.98%	3.12%	5.87%	-1.12%	12.80%	12.16%	-11.00%	319.87%
2829	161606	融通行业景气	9月13日	1.072	3.012	-1.20%	-2.34%	-2.78%	-2.43%	13.49%	19.23%	34.95%	39.28%	-12.57%	269.56%
2830	000613	国寿安保沪深	9月13日	1.4685	1.4685	-0.09%	-2.34%	-0.94%	8.62%	11.51%	0.84%	37.28%	---	-9.54%	46.85%
2831	160626	鹏华信息分级	9月13日	1.176	1.698	0.77%	-2.34%	-0.51%	-0.17%	21.06%	11.39%	22.73%	---	-14.88%	49.86%
2832	340007	兴全社会责任	9月13日	2.799	2.989	1.93%	-2.35%	-0.25%	7.39%	23.53%	21.45%	62.39%	83.31%	-4.85%	211.45%
2833	400011	东方核心动力	9月13日	1.4736	1.4736	0.40%	-2.35%	-0.87%	11.98%	14.65%	12.10%	66.64%	66.94%	-9.79%	47.36%
2834	162412	华宝兴业中证	9月13日	1.1091	0.4165	0.49%	-2.36%	-0.70%	3.09%	15.80%	-7.46%	---	---	-21.54%	-58.55%
2835	481013	工银消费服务	9月13日	1.487	1.487	0.13%	-2.37%	-3.07%	3.27%	13.79%	8.87%	37.88%	56.81%	-3.45%	48.50%
2836	470028	汇添富社会责	9月13日	1.701	1.701	0.71%	-2.37%	-0.94%	-3.87%	12.08%	20.90%	47.00%	65.26%	-20.14%	68.90%
2837	050025	博时标普50	9月12日	1.6458	1.7048	1.72%	-2.38%	-2.19%	1.92%	9.11%	14.42%	17.63%	40.73%	6.84%	69.87%
2838	000965	汇丰晋信新动	9月13日	0.8721	0.8721	0.68%	-2.38%	-0.62%	0.67%	16.98%	19.89%	---	---	-21.28%	-13.38%
2839	360005	光大保德信红	9月13日	2.9481	4.8561	0.37%	-2.38%	-1.62%	5.96%	17.27%	12.78%	68.14%	67.99%	-9.36%	453.79%
2840	000884	民生加银优选	9月13日	1.029	1.029	0.78%	-2.39%	-2.11%	2.41%	13.57%	12.44%	---	---	-15.69%	2.10%
2841	096001	大成标普50	9月12日	1.536	1.604	1.72%	-2.39%	-1.76%	1.21%	9.50%	12.96%	14.25%	34.93%	8.49%	58.94%
2842	400015	东方增长中小	9月13日	2.0152	2.0152	0.90%	-2.40%	-1.82%	4.95%	4.83%	-4.47%	22.72%	47.48%	-17.89%	101.52%
2843	161604	融通深证10	9月13日	1.267	2.635	0.40%	-2.40%	-1.56%	4.04%	14.83%	5.44%	32.15%	32.15%	-13.43%	272.01%
2844	110011	易方达中小盘	9月13日	2.8909	2.9309	0.46%	-2.40%	-2.44%	8.58%	23.24%	20.57%	65.28%	73.47%	7.43%	197.04%
2845	360012	光大保德信中	9月13日	1.7465	1.7765	0.48%	-2.40%	-1.46%	5.58%	16.76%	27.13%	81.57%	86.40%	-1.27%	78.98%
2846	000031	华夏复兴混合	9月13日	1.872	1.872	0.21%	-2.40%	-3.61%	2.13%	8.67%	0.65%	28.38%	40.14%	-12.59%	86.80%
2847	160215	国泰价值经典	9月13日	1.467	1.717	0.41%	-2.40%	-1.68%	3.25%	28.99%	36.86%	74.91%	101.04%	-1.07%	74.91%
2848	000566	华泰柏瑞创新	9月13日	1.853	1.853	1.48%	-2.41%	-1.93%	3.22%	24.56%	6.16%	53.57%	---	-14.43%	82.60%
2849	050010	博时特许价值	9月13日	1.417	1.857	0.00%	-2.41%	-2.28%	1.65%	4.50%	3.81%	43.09%	44.31%	-12.75%	98.23%
2850	002900	南方中证50	9月12日	0.9635	0.9635	-3.23%	-2.41%	---	---	---	---	---	---	---	-3.65%
2851	000011	华夏大盘精选	9月13日	10.261	14.241	0.19%	-2.41%	-0.94%	3.47%	12.24%	9.84%	33.31%	23.16%	-11.19%	1661.41%
2852	540009	汇丰晋信消费	9月13日	0.8936	0.9686	0.47%	-2.41%	-2.01%	4.62%	19.43%	8.44%	4.00%	2.46%	-7.05%	-4.95%
2853	002974	广发信息技术	9月13日	1.0965	1.0965	0.81%	-2.42%	-1.05%	---	---	---	---	---	---	-5.12%
2854	000942	广发信息技术	9月13日	1.095	1.095	0.82%	-2.43%	-1.04%	-1.73%	12.85%	5.71%	---	---	-20.29%	8.61%
2855	100056	富国低碳环保	9月13日	2.222	2.222	0.68%	-2.43%	0.96%	5.95%	14.77%	-14.42%	85.46%	100.27%	-27.92%	120.70%
2856	161630	融通中证大农	9月13日	1.007	1.016	0.40%	-2.43%	-2.05%	1.83%	8.20%	1.19%	---	---	-4.29%	1.19%
2857	001030	天弘云端生活	9月13日	0.7408	0.7408	0.54%	-2.44%	-3.56%	1.43%	10.35%	-12.93%	---	---	-20.05%	-26.32%
2858	481012	工银深证红利	9月13日	1.1259	1.1259	0.19%	-2.44%	-1.74%	3.05%	8.53%	12.18%	50.74%	57.17%	-7.45%	12.38%
2859	202005	南方成份精选	9月12日	0.9553	1.5847	-1.88%	-2.44%	-3.48%	8.71%	17.30%	13.01%	79.54%	85.92%	-0.37%	69.09%
2860	519694	交银蓝筹混合	9月12日	0.8071	1.0221	-2.89%	-2.44%	-1.27%	1.98%	12.02%	5.78%	35.51%	31.01%	-16.31%	1.93%
